transaction_id,user_id,amount,amount_usd,currency,category,merchant,merchant_location,payment_method,transaction_date,is_fraud,fraud_type,description,day_of_week,hour,month
T00009364,U00041,94.73,94.73,USD,Entertainment,Concert Hall,"Los Angeles, USA",Debit Card,2024-01-01 03:25:23,1.0,unusual_time,Entertainment purchase at Concert Hall,Monday,3.0,1.0
T00000577,U00238,347.42,347.42,USD,Investment,Stock Broker,"New York, USA",Credit Card,2024-01-01 04:26:13,0.0,,Investment purchase at Stock Broker,Monday,4.0,1.0
T00010832,U00043,121.52,121.52,USD,Utilities,Gas Company,"Chicago, USA",Digital Wallet,2024-01-01 06:42:56,0.0,,Utilities purchase at Gas Company,Monday,6.0,1.0
T00005025,U00225,2281884.08,144.42,IDR,Transportation,Gas Station,"Surabaya, Indonesia",Bank Transfer,2024-01-01 06:50:21,0.0,,Transportation purchase at Gas Station,Monday,6.0,1.0
T00003107,U00111,1241.85,172.48,CNY,Groceries,Whole Foods,"Guangzhou, China",Bank Transfer,2024-01-01 07:24:17,0.0,,Groceries purchase at Whole Foods,Monday,7.0,1.0
T00012739,U00016,75.21,75.21,USD,Hobbies,Music Store,"New York, USA",Credit Card,2024-01-01 08:09:49,0.0,,Hobbies purchase at Music Store,Monday,8.0,1.0
T00006761,U00056,4997.67,694.12,CNY,Travel,AirBnB,"Beijing, China",Debit Card,2024-01-01 10:28:35,0.0,,Travel purchase at AirBnB,Monday,10.0,1.0
T00002284,U00037,86.45,86.45,USD,Dining,Cafe B,"New York, USA",Bank Transfer,2024-01-01 11:32:22,0.0,,Dining purchase at Cafe B,Monday,11.0,1.0
T00010287,U00003,645.06,645.06,USD,Investment,Stock Broker,"Chicago, USA",Bank Transfer,2024-01-01 11:44:20,0.0,,Investment purchase at Stock Broker,Monday,11.0,1.0
T00014337,U00067,5871007.28,371.58,IDR,Healthcare,Pharmacy,"Jakarta, Indonesia",Debit Card,2024-01-01 12:23:41,0.0,,Healthcare purchase at Pharmacy,Monday,12.0,1.0
T00003128,U00085,609.69,84.68,CNY,Groceries,Whole Foods,"Guangzhou, China",Debit Card,2024-01-01 13:00:42,0.0,,Groceries purchase at Whole Foods,Monday,13.0,1.0
T00012661,U00138,173.02,173.02,USD,Savings,Savings Account,"New York, USA",Debit Card,2024-01-01 13:42:05,0.0,,Savings purchase at Savings Account,Monday,13.0,1.0
T00008919,U00196,151.34,151.34,USD,Healthcare,Health Clinic,"Los Angeles, USA",Debit Card,2024-01-01 14:03:25,0.0,,Healthcare purchase at Health Clinic,Monday,14.0,1.0
T00014407,U00062,3802452.09,240.66,IDR,Insurance,Insurance Corp,"Jakarta, Indonesia",Digital Wallet,2024-01-01 14:08:18,0.0,,Insurance purchase at Insurance Corp,Monday,14.0,1.0
T00013400,U00028,384.41,384.41,USD,Emergency Fund,Emergency Savings,"Chicago, USA",Bank Transfer,2024-01-01 15:15:53,0.0,,Emergency Fund purchase at Emergency Savings,Monday,15.0,1.0
T00008548,U00150,235.76,32.74,CNY,Entertainment,Cinema,"Guangzhou, China",Debit Card,2024-01-01 15:33:02,0.0,,Entertainment purchase at Cinema,Monday,15.0,1.0
T00009657,U00099,1378.16,191.41,CNY,Shopping,Target,"Guangzhou, China",Bank Transfer,2024-01-01 17:49:05,0.0,,Shopping purchase at Target,Monday,17.0,1.0
T00009424,U00197,420.2,420.2,USD,Emergency Fund,Emergency Savings,"Los Angeles, USA",Credit Card,2024-01-01 17:58:18,0.0,,Emergency Fund purchase at Emergency Savings,Monday,17.0,1.0
T00010574,U00014,115.41,115.41,USD,Transportation,Parking,"Chicago, USA",Debit Card,2024-01-01 18:19:15,0.0,,Transportation purchase at Parking,Monday,18.0,1.0
T00000701,U00105,1201625.75,76.05,IDR,Hobbies,Music Store,"Jakarta, Indonesia",Digital Wallet,2024-01-01 19:47:48,0.0,,Hobbies purchase at Music Store,Monday,19.0,1.0
T00002808,U00128,2488344.14,157.49,IDR,Utilities,Gas Company,"Jakarta, Indonesia",Debit Card,2024-01-01 19:48:04,0.0,,Utilities purchase at Gas Company,Monday,19.0,1.0
T00010903,U00208,688.3,95.6,CNY,Entertainment,Cinema,"Guangzhou, China",Debit Card,2024-01-02 07:29:26,0.0,,Entertainment purchase at Cinema,Tuesday,7.0,1.0
T00001985,U00241,4595.63,638.28,CNY,Investment,Stock Broker,"Guangzhou, China",Debit Card,2024-01-02 07:49:24,0.0,,Investment purchase at Stock Broker,Tuesday,7.0,1.0
T00004915,U00057,106.33,106.33,USD,Utilities,Electric Co,"New York, USA",Digital Wallet,2024-01-02 10:13:00,0.0,,Utilities purchase at Electric Co,Tuesday,10.0,1.0
